FID,Filename,Path,Row,Date,Shape_Leng,Shape_Area
55,p026_r046_l7_20000321,026,046,20000321,5.770311787960000,1.472117464680000
56,p027_r043_l7_20011126,027,043,20011126,5.864252943700000,1.869292036520000
57,p027_r044_l7_20001209,027,044,20001209,6.856294749270000,2.209657046960000
58,p027_r045_l7_20011126,027,045,20011126,6.911279799310000,2.237473465050000
59,p027_r046_l7_20011126,027,046,20011126,5.968914815670000,1.501033137890000
60,p028_r043_l7_20011101,028,043,20011101,6.081253605060000,1.779772148230000
61,p028_r044_l7_20011101,028,044,20011101,6.808542914360000,2.276652569700000
62,p028_r045_l7_19991128,028,045,19991128,6.193700332840000,1.791986055480000
63,p028_r046_l7_19991027,028,046,19991027,4.029642191160000,0.763936696607000
64,p029_r043_l7_20011023,029,043,20011023,3.394311217220000,0.387335667363000
65,p029_r044_l7_20011023,029,044,20011023,1.964868653590000,0.008024238365470
66,p024_r046_l7_20000424,024,046,20000424,1.262854006150000,0.061874144075800
67,p024_r047_l7_20000424,024,047,20000424,5.264208231180000,1.164097671650000
68,p024_r048_l7_20000424,024,048,20000424,6.066932726590000,1.729916183320000
69,p024_r049_l7_20000408,024,049,20000408,4.971765808420000,1.345447728500000
70,p025_r046_l7_20000906,025,046,20000906,4.417664433520000,0.753052435199000
71,p025_r047_l7_20000906,025,047,20000906,7.372758604890000,2.147797209810000
72,p025_r048_l7_19991209,025,048,19991209,6.944950234390000,2.189192418440000
73,p025_r049_l7_20000704,025,049,20000704,4.407364045290000,0.887145093522000
74,p026_r046_l7_20000321,026,046,20000321,4.386213185520000,0.745728850948000
75,p026_r047_l7_20000321,026,047,20000321,7.031830010730000,2.242059365870000
76,p026_r048_l7_20000321,026,048,20000321,6.475487289870000,2.156316360130000
77,p027_r046_l7_20011126,027,046,20011126,4.767413170450000,0.793344957504000
78,p027_r047_l7_20010331,027,047,20010331,6.950494490310000,2.236954004910000
79,p027_r048_l7_20011110,027,048,20011110,5.211561343100000,1.342290449240000
80,p028_r046_l7_19991027,028,046,19991027,2.997343069850000,0.435650075270000
81,p028_r047_l7_19991128,028,047,19991128,4.458714162170000,0.762012580099000
82,p028_r048_l7_19991128,028,048,19991128,0.842843345419000,0.033916452868900
83,p031_r039_l7_20000511,031,039,20000511,5.491691975280000,1.614336667750000
84,p032_r038_l7_20000502,032,038,20000502,5.967960991860000,1.968852085700000
85,p032_r039_l7_19991023,032,039,19991023,4.861855648120000,1.354195613480000
86,p033_r038_l7_20010613,033,038,20010613,7.163632910890000,2.446758874170000
87,p033_r039_l7_19990928,033,039,19990928,5.670321853980000,1.554717958180000
88,p034_r038_l7_20000719,034,038,20000719,4.237119805930000,0.641798640237000
89,p034_r039_l7_19991021,034,039,19991021,2.332251401600000,0.080163690779900
90,p029_r039_l7_20010516,029,039,20010516,0.864126446197000,0.026172081429400
91,p029_r040_l7_20001207,029,040,20001207,3.266837914860000,0.155179181240000
92,p029_r041_l7_20000918,029,041,20000918,4.212496950220000,0.669626271976000
93,p029_r042_l7_20001004,029,042,20001004,4.803743130300000,1.162569185150000
94,p029_r043_l7_20011023,029,043,20011023,3.051931579110000,0.461042600997000
95,p030_r039_l7_20001128,030,039,20001128,4.077317329850000,0.617245145512000
96,p030_r040_l7_20001128,030,040,20001128,6.861027762840000,2.192449162790000
97,p030_r041_l7_20001128,030,041,20001128,6.970976458030000,2.236632709940000
98,p030_r042_l7_20001128,030,042,20001128,6.515127948560000,2.051440756200000
99,p030_r043_l7_20011014,030,043,20011014,3.723899312780000,0.524480783970000
100,p031_r039_l7_20000511,031,039,20000511,3.822927365300000,0.483205367421000
101,p031_r040_l7_20001002,031,040,20001002,7.178402799080000,2.725388467430000
102,p031_r041_l7_20001002,031,041,20001002,6.919546709410000,2.198316343530000
103,p031_r042_l7_20001002,031,042,20001002,5.953868999160000,1.874852624470000
104,p031_r043_l7_20011224,031,043,20011224,3.980715304440000,0.543220882326000
105,p032_r039_l7_19991023,032,039,19991023,3.894063977880000,0.541775524982000
106,p032_r040_l7_19991023,032,040,19991023,5.964634666880000,1.866542071120000
107,p032_r041_l7_20001110,032,041,20001110,6.669051526620000,2.421876879580000
108,p032_r042_l7_20011012,032,042,20011012,7.071325008270000,2.770424653590000
109,p032_r043_l7_20011028,032,043,20011028,4.021448886030000,0.449906779447000
110,p033_r039_l7_19990928,033,039,19990928,3.566272522260000,0.489839947094000
111,p033_r040_l7_19991014,033,040,19991014,5.714932930980000,1.836070626920000
112,p033_r041_l7_19991014,033,041,19991014,4.779106639730000,1.088342528710000
113,p033_r042_l7_19991014,033,042,19991014,3.986359139670000,0.561524234883000
114,p033_r043_l7_19991014,033,043,19991014,0.768951072042000,0.031963698992500
115,p034_r039_l7_19991021,034,039,19991021,0.782161321880000,0.019910398140100
116,p028_r044_l7_20011101,028,044,20011101,0.887049085010000,0.001213491578970
117,p028_r045_l7_19991128,028,045,19991128,3.867401509270000,0.443969274700000
118,p028_r046_l7_19991027,028,046,19991027,3.644931422730000,0.664768314369000
119,p029_r043_l7_20011023,029,043,20011023,5.022776784800000,1.404346564060000
120,p029_r044_l7_20011023,029,044,20011023,6.556519104330000,2.191002729160000
121,p029_r045_l7_19990815,029,045,19990815,6.944780696960000,2.235449701900000
122,p029_r046_l7_19991103,029,046,19991103,5.681155149410000,1.465039853090000
123,p030_r043_l7_20011014,030,043,20011014,6.099229808820000,1.812995136480000
124,p030_r044_l7_20011014,030,044,20011014,6.941605680020000,2.251065816350000
125,p030_r045_l7_20011030,030,045,20011030,6.990827728530000,2.240414025220000
126,p030_r046_l7_19991126,030,046,19991126,5.378018340900000,1.439281356780000
127,p031_r043_l7_20011224,031,043,20011224,6.173266069900000,1.843390329870000
128,p031_r044_l7_20001221,031,044,20001221,6.757232369900000,2.187771806300000
129,p031_r045_l7_20001221,031,045,20001221,6.983403841750000,1.323971125590000
